===== E5 Encoder =====
[crb_enc_mse_pop_e5] device=cuda:0 | UNetCRB params=1.56M trainable=1.07M | loss=lung-masked MSE | CRB=encoder + frozen anatomy side-branch | seed=20260817
[crb_enc_mse_pop_e5] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 8640 val 480 | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 1 | train MSE: 0.514481 | val MSE: 0.462969 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.370387 | val MSE: 0.274495 | total time: 0 hours 5 minutes
Epoch: 3 | train MSE: 0.242137 | val MSE: 0.198288 | total time: 0 hours 7 minutes
Epoch: 4 | train MSE: 0.191779 | val MSE: 0.164502 | total time: 0 hours 10 minutes
Epoch: 5 | train MSE: 0.153536 | val MSE: 0.155418 | total time: 0 hours 13 minutes
Epoch: 6 | train MSE: 0.132268 | val MSE: 0.113481 | total time: 0 hours 15 minutes
Epoch: 7 | train MSE: 0.113133 | val MSE: 0.128157 | total time: 0 hours 18 minutes
Epoch: 8 | train MSE: 0.100020 | val MSE: 0.102191 | total time: 0 hours 21 minutes
Epoch: 9 | train MSE: 0.088976 | val MSE: 0.095003 | total time: 0 hours 23 minutes
Epoch: 10 | train MSE: 0.083052 | val MSE: 0.087687 | total time: 0 hours 26 minutes
Epoch: 11 | train MSE: 0.075321 | val MSE: 0.086664 | total time: 0 hours 28 minutes
Epoch: 12 | train MSE: 0.070372 | val MSE: 0.076163 | total time: 0 hours 31 minutes
Epoch: 13 | train MSE: 0.065130 | val MSE: 0.074295 | total time: 0 hours 34 minutes
Epoch: 14 | train MSE: 0.062529 | val MSE: 0.110482 | total time: 0 hours 36 minutes
Epoch: 15 | train MSE: 0.060090 | val MSE: 0.070393 | total time: 0 hours 39 minutes
Epoch: 16 | train MSE: 0.056336 | val MSE: 0.070233 | total time: 0 hours 42 minutes
Epoch: 17 | train MSE: 0.055172 | val MSE: 0.064281 | total time: 0 hours 44 minutes
Epoch: 18 | train MSE: 0.052050 | val MSE: 0.066041 | total time: 0 hours 47 minutes
Epoch: 19 | train MSE: 0.050237 | val MSE: 0.060603 | total time: 0 hours 49 minutes
Epoch: 20 | train MSE: 0.048211 | val MSE: 0.059243 | total time: 0 hours 52 minutes
Epoch: 21 | train MSE: 0.046079 | val MSE: 0.057954 | total time: 0 hours 55 minutes
Epoch: 22 | train MSE: 0.046035 | val MSE: 0.063878 | total time: 0 hours 57 minutes
Epoch: 23 | train MSE: 0.043263 | val MSE: 0.050672 | total time: 1 hours 0 minutes
Epoch: 24 | train MSE: 0.041749 | val MSE: 0.050818 | total time: 1 hours 2 minutes
Epoch: 25 | train MSE: 0.040969 | val MSE: 0.049957 | total time: 1 hours 5 minutes
